Symbol,dbsym,sector,cik,px_12m,px_ytd,px_q1,eps_ttm,eps_q
AVGO,AVGO,Information Technology,1730168,35.42842097344467,4.190178545591339,-10.579622073675377,210.4395604395604,85.43689320388349
BR,BR,Industrials,1383312,-41.20350511673509,-35.5001344447432,-27.193690060051978,21.07843137254902,15.1219512195122
BRO,BRO,Financials,79282,-35.787058283616346,-12.182263227264178,-18.11962593359694,-14.48467966573815,-7.826086956521728
BF.B,BF-B,Consumer Staples,14693,,,,,
BLDR,BLDR,Industrials,1316835,-33.26110936022692,-17.674215181261545,-19.98250558849257,-66.41025641025641,-151.1904761904762
BG,BG,Consumer Staples,1996862,32.67289719626167,19.508362330227857,42.76013020541025,-51.47625160462132,-76.35135135135135
BXP,BXP,Real Estate,1037540,1.6950396243029076,2.735359525574488,-23.083765752409192,,64.1025641025641
CHRW,CHRW,Industrials,1043277,93.09257375381486,18.118174180901715,3.30128504309406,17.89976133651549,9.909909909909898
CDNS,CDNS,Information Technology,813672,20.568934863423305,19.273448242780855,-11.1413130376387,8.883248730964446,23.0
CPT,CPT,Real Estate,906345,3.819260046025841,6.525292888929246,-11.315956770502222,228.44036697247708,11.111111111111121
COF,COF,Financials,927628,-4.705581633127299,-15.41396807062415,-24.776205602079127,-67.08648194794291,-3.188405797101458
CAH,CAH,Health Care,721371,45.315161839863705,16.201226038727267,2.8023742337258017,,
CCL,CCL,Consumer Discretionary,815097,-2.60125698324023,-8.690671031096564,-15.237315875613755,46.45161290322582,
CARR,CARR,Industrials,1783180,-5.685641232673944,32.6488123403047,6.558152739661205,-75.82938388625593,-40.42553191489361
CVNA,CVNA,Consumer Discretionary,1690820,26.70241366066941,1.6050698886519665,-6.787491115849353,,
CASY,CASY,Consumer Staples,726958,56.11186155321939,44.39223568182229,31.83225596175785,,
CAT,CAT,Industrials,18230,145.9309290174589,68.48437227169546,23.73319364414177,-2.0487804878048865,30.238095238095227
CBOE,CBOE,Financials,1374310,7.527949238140463,-0.7608955461716138,11.779937853557465,53.67454068241471,54.43037974683544
CBRE,CBRE,Real Estate,1138118,-0.01765287388787451,-11.913278795607951,-15.708109116924318,33.944954128440365,98.14814814814815
CDW,CDW,Information Technology,1402057,-7.992436789223801,22.36600587371513,-11.119676945668122,1.734820322180924,7.6923076923077
COR,COR,Health Care,1140859,25.558753809685065,9.781192633386638,-6.999467045656416,39.035087719298225,128.2608695652174
CNC,CNC,Health Care,1071739,19.738700564971733,64.73160068010687,-20.463930046150114,-292.4778761061947,18.250950570342205
CNP,CNP,Utilities,1130310,21.99726402188784,16.271186440677976,12.5554106910039,10.135135135135144,6.66666666666666
CF,CF,Materials,1324404,19.559809647415104,42.98001681433099,67.86522667011576,46.82539682539684,115.13513513513512
CRL,CRL,Health Care,1100682,49.303756476683944,15.545586687384105,-13.513107112425438,,-160.0
SCHW,SCHW,Financials,316709,6.315789473684208,-2.9963483567605476,-5.987694462508131,52.424242424242436,38.383838383838395
CHTR,CHTR,Communication Services,1091667,-45.35440727545173,-12.44352920517856,3.395431253292469,3.1250000000000133,8.907363420427554
CVX,CVX,Energy,93410,16.2899347303332,11.070280202113004,35.737253100597165,-34.4,-44.49999999999999
CMG,CMG,Consumer Discretionary,1058090,-24.040443070582185,-4.442344045368629,-13.583580880367274,-3.53982300884958,-17.85714285714286
CB,CB,Financials,896159,24.746149064032586,15.734495409904369,4.423474373968639,36.17533718689789,78.72340425531914
CHD,CHD,Consumer Staples,313927,0.9832036050798854,17.63302314483417,11.339775709854472,30.472103004291846,2.247191011235957
CIEN,CIEN,Information Technology,936395,424.30408188740483,79.68770053475936,66.08342245989307,200.00000000000006,2383.333333333333
CI,CI,Health Care,1739940,7.519665609858239,4.523151849967277,-3.0511739478083832,31.493868450390185,29.072164948453615
CINF,CINF,Financials,20286,28.514997321906787,17.51201444794759,-3.6762680216719135,90.52287581699349,
