Symbol,dbsym,sector,cik,yoy_price,yoy_eps
NVR,NVR,Consumer Discretionary,906163,-12.054305999391934,-28.54581883370241
NXPI,NXPI,Information Technology,1413447,23.710873891803864,130.72916666666666
ORLY,ORLY,Consumer Discretionary,898173,-0.2653399668325118,16.129032258064512
OXY,OXY,Energy,797468,14.06906206252916,306.49350649350646
ODFL,ODFL,Industrials,878927,29.305943121771637,-4.201680672268911
OMC,OMC,Communication Services,29989,6.523506299959347,-6.896551724137923
OKE,OKE,Energy,1039684,8.458878735490227,18.269230769230763
ORCL,ORCL,Information Technology,1341439,-35.935003879684146,24.509803921568626
OTIS,OTIS,Industrials,1781335,-27.230187176423726,42.622950819672134
PCAR,PCAR,Industrials,75362,21.700610997963345,19.791666666666664
PKG,PKG,Materials,75677,17.501109850540143,-15.486725663716811
PLTR,PLTR,Information Technology,1321655,-1.5784657617813003,325.0
PANW,PANW,Information Technology,1327567,75.19991902014374,-159.45945945945945
PH,PH,Industrials,76334,36.91872449922522,-4.206241519674362
PAYX,PAYX,Industrials,723531,-27.87463537073469,9.090909090909099
PYPL,PYPL,Financials,1633917,-24.52861505776126,-6.201550387596905
PNR,PNR,Industrials,77360,-26.950354609929082,12.903225806451612
PEP,PEP,Consumer Staples,77476,6.57204110297922,27.819548872180437
PFE,PFE,Health Care,78003,-2.954091816367277,-9.615384615384624
PCG,PCG,Utilities,1004980,20.750708215297454,39.28571428571428
PM,PM,Consumer Staples,1413329,2.649733900261886,-9.302325581395344
PSX,PSX,Energy,1534701,43.2422556940441,-56.77966101694915
PNC,PNC,Financials,713676,29.545926849542802,17.663817663817667
PPG,PPG,Materials,79879,7.627555402851738,4.2944785276073665
PFG,PFG,Financials,1126328,37.215346534653484,819.047619047619
PG,PG,Consumer Staples,80424,-6.082128900192297,5.844155844155835
PGR,PGR,Financials,80661,-12.173435992508663,9.839816933638437
PLD,PLD,Real Estate,1045609,30.780414595253735,66.66666666666667
PRU,PRU,Financials,1137774,3.6228560946528487,-14.285714285714288
PEG,PEG,Utilities,788784,-1.5445879087727765,25.423728813559325
PTC,PTC,Information Technology,857005,-28.043000809155018,268.8888888888889
PSA,PSA,Real Estate,1393311,10.569214772079283,32.843137254901954
PHM,PHM,Consumer Discretionary,822416,21.628012733060476,-30.350194552529175
PWR,PWR,Industrials,1050915,79.53843260524974,51.041666666666664
QCOM,QCOM,Information Technology,804328,10.783514208644384,173.015873015873
DGX,DGX,Health Care,1022079,20.281124497991954,15.46391752577321
RJF,RJF,Financials,720005,5.193041453792935,15.254237288135608
RTX,RTX,Industrials,101829,38.053956585061385,32.456140350877206
O,O,Real Estate,726728,10.413423283168989,17.85714285714285
REGN,REGN,Health Care,872589,22.286814460353654,-7.152682255845937
RF,RF,Financials,1281761,25.299958626396357,21.56862745098039
RSG,RSG,Industrials,1060391,-11.165167620605065,7.594936708860751
RMD,RMD,Health Care,943819,-18.213393693412428,10.483870967741945
RVTY,RVTY,Health Care,31791,14.91919191919191,2.85714285714286
